voiceAccuracy,letterScore,wordScore,risk
79,4,2,Moderate
76,4,5,Moderate
24,6,1,Moderate
60,2,7,Moderate
33,1,2,High
87,6,1,Moderate
56,2,2,High
48,4,0,High
77,0,3,High
44,6,7,Low
25,0,1,High
94,7,7,Low
49,4,7,Moderate
25,6,2,Moderate
86,7,5,Low
56,0,6,Moderate
53,1,5,Moderate
45,0,6,Moderate
78,7,3,Moderate
41,7,4,Moderate
100,6,0,Moderate
32,0,0,High
30,4,5,Moderate
69,3,3,Moderate
23,7,4,Moderate
27,3,4,Moderate
39,3,3,Moderate
42,3,6,Moderate
45,3,5,Moderate
55,6,5,Moderate
86,7,7,Low
86,2,4,Moderate
58,0,0,High
44,1,2,High
41,6,6,Moderate
79,7,4,Low
75,4,5,Moderate
33,5,5,Moderate
20,1,0,High
53,4,4,Moderate
90,2,7,Moderate
78,3,4,Moderate
91,7,2,Moderate
25,1,1,High
21,2,5,High
47,7,2,Moderate
93,3,1,Moderate
45,7,7,Low
56,3,1,High
45,2,5,Moderate
20,4,6,Moderate
53,3,5,Moderate
94,7,4,Low
22,5,7,Moderate
93,5,5,Low
100,2,0,Moderate
63,4,1,Moderate
90,6,4,Low
82,2,0,High
47,1,5,Moderate
55,7,0,Moderate
27,4,0,High
49,6,7,Low
75,3,3,Moderate
27,1,4,High
26,7,6,Moderate
72,4,0,Moderate
63,3,1,High
57,1,2,High
44,6,7,Low
41,6,0,Moderate
52,3,6,Moderate
61,6,4,Moderate
41,6,2,Moderate
49,5,3,Moderate
73,0,3,High
47,4,4,Moderate
35,5,5,Moderate
60,2,1,High
82,6,3,Moderate
37,6,0,Moderate
74,1,1,High
65,5,3,Moderate
53,5,5,Moderate
45,2,2,High
58,3,0,High
31,1,5,High
70,6,4,Moderate
36,3,7,Moderate
97,5,0,Moderate
50,0,5,Moderate
33,7,3,Moderate
81,6,0,Moderate
68,2,3,Moderate
37,4,0,High
52,2,2,High
84,2,3,Moderate
27,7,1,Moderate
85,3,3,Moderate
25,6,7,Moderate
57,5,2,Moderate
58,3,0,High
93,2,4,Moderate
96,0,6,Moderate
27,7,6,Moderate
54,7,7,Low
51,6,7,Low
32,7,1,Moderate
58,0,1,High
45,4,7,Moderate
24,6,2,Moderate
85,7,0,Moderate
88,2,6,Moderate
34,6,6,Moderate
43,5,2,Moderate
62,4,7,Moderate
42,0,0,High
77,2,7,Moderate
78,3,6,Moderate
27,0,6,High
90,1,6,Moderate
63,6,7,Low
81,5,4,Moderate
24,6,0,High
78,0,1,High
82,0,7,Moderate
87,6,2,Moderate
91,0,5,Moderate
67,1,0,High
70,0,3,High
23,6,4,Moderate
70,6,6,Low
53,2,2,High
52,4,0,High
64,7,7,Low
42,3,0,High
80,4,3,Moderate
37,2,4,Moderate
24,7,4,Moderate
68,5,5,Moderate
85,2,5,Moderate
78,0,4,Moderate
80,2,0,High
47,5,2,Moderate
65,6,2,Moderate
60,3,4,Moderate
100,3,0,Moderate
81,5,7,Low
38,1,0,High
70,3,1,Moderate
93,4,2,Moderate
70,2,5,Moderate
30,1,2,High
67,1,2,High
68,3,1,Moderate
42,5,4,Moderate
21,2,5,High
97,7,5,Low
53,4,4,Moderate
51,0,0,High
70,1,1,High
63,4,3,Moderate
35,4,4,Moderate
46,0,0,High
35,1,2,High
35,2,2,High
61,0,7,Moderate
82,3,1,Moderate
35,6,3,Moderate
34,6,0,High
66,6,0,Moderate
36,7,2,Moderate
45,7,0,Moderate
90,5,6,Low
56,4,5,Moderate
62,5,1,Moderate
56,4,4,Moderate
30,5,7,Moderate
28,2,0,High
33,7,2,Moderate
22,5,2,Moderate
82,3,7,Low
94,2,5,Moderate
39,4,2,Moderate
46,3,1,High
35,3,7,Moderate
27,2,7,Moderate
69,4,5,Moderate
97,4,3,Moderate
77,1,5,Moderate
33,6,0,High
75,6,7,Low
21,1,4,High
80,2,1,Moderate
47,4,4,Moderate
81,3,2,Moderate
60,2,1,High
92,7,1,Moderate
33,5,7,Moderate
44,5,0,High
42,7,3,Moderate
94,3,4,Moderate
24,7,1,Moderate
56,1,4,Moderate
22,3,2,High
28,6,3,Moderate
38,6,2,Moderate
72,4,0,Moderate
66,4,1,Moderate
45,1,0,High
79,4,5,Moderate
24,4,2,High
98,4,4,Moderate
94,4,5,Low
46,5,1,Moderate
99,3,7,Low
39,6,3,Moderate
95,4,6,Low
74,5,1,Moderate
21,7,3,Moderate
23,4,1,High
21,3,4,High
94,3,6,Low
56,3,1,High
53,7,1,Moderate
40,6,1,Moderate
29,6,2,Moderate
62,7,0,Moderate
56,5,5,Moderate
40,3,2,High
72,3,4,Moderate
62,4,4,Moderate
63,2,4,Moderate
93,3,0,Moderate
70,2,6,Moderate
99,3,0,Moderate
50,0,1,High
49,2,4,Moderate
65,2,2,Moderate
23,6,0,High
77,5,6,Low
87,0,5,Moderate
82,3,1,Moderate
79,5,3,Moderate
41,5,7,Moderate
73,4,4,Moderate
34,3,1,High
86,4,3,Moderate
54,5,6,Moderate
49,7,7,Low
83,2,5,Moderate
72,7,2,Moderate
35,2,6,Moderate
95,3,4,Moderate
51,6,0,Moderate
38,5,2,Moderate
57,4,2,Moderate
51,3,5,Moderate
48,5,5,Moderate
88,4,2,Moderate
79,0,2,High
74,6,5,Low
40,4,3,Moderate
51,3,7,Moderate
55,6,4,Moderate
35,0,0,High
61,2,3,Moderate
94,5,4,Low
90,4,0,Moderate
51,0,5,Moderate
31,2,2,High
27,5,0,High
31,2,4,High
33,5,1,High
68,1,7,Moderate
95,3,6,Low
94,2,0,Moderate
78,2,2,Moderate
61,4,2,Moderate
85,4,2,Moderate
37,6,3,Moderate
92,0,2,High
50,5,2,Moderate
30,2,4,High
93,5,7,Low
99,0,1,High
59,6,5,Moderate
75,2,4,Moderate
57,2,3,Moderate
79,1,6,Moderate
57,0,1,High
62,3,1,High
59,5,7,Low
36,6,6,Moderate
21,7,6,Moderate
78,6,1,Moderate
66,7,2,Moderate
76,5,5,Moderate
33,0,4,High
73,1,3,Moderate
32,0,7,Moderate
97,6,5,Low
39,4,6,Moderate
73,2,7,Moderate
55,0,1,High
46,2,1,High
73,2,0,High
79,1,1,High
58,2,1,High
22,4,5,Moderate
24,5,4,Moderate
43,7,6,Low
37,5,6,Moderate
92,0,5,Moderate
97,7,0,Moderate
93,0,5,Moderate
94,4,2,Moderate
97,3,5,Moderate
69,0,4,Moderate
79,2,1,Moderate
80,7,6,Low
66,7,0,Moderate
90,0,1,High
72,6,1,Moderate
59,1,4,Moderate
94,5,6,Low
82,6,1,Moderate
35,7,6,Moderate
95,2,7,Low
24,2,1,High
46,7,5,Moderate
53,1,5,Moderate
73,2,3,Moderate
94,6,2,Moderate
60,3,2,Moderate
60,5,1,Moderate
42,1,3,High
95,3,5,Moderate
41,0,2,High
55,1,1,High
74,4,3,Moderate
86,3,4,Moderate
93,6,3,Low
21,7,2,Moderate
88,7,4,Low
73,0,3,High
41,7,6,Low
26,1,6,Moderate
82,7,4,Low
78,3,1,Moderate
90,6,2,Moderate
57,6,5,Moderate
36,5,3,Moderate
55,5,0,Moderate
78,2,1,High
59,0,3,High
69,0,7,Moderate
62,4,5,Moderate
42,5,5,Moderate
50,2,2,High
84,5,4,Moderate
28,5,0,High
65,5,4,Moderate
94,3,7,Low
26,5,3,Moderate
43,3,5,Moderate
37,7,6,Low
80,4,6,Low
24,6,4,Moderate
41,6,1,Moderate
75,7,0,Moderate
40,2,3,High
46,7,1,Moderate
57,6,7,Low
69,0,5,Moderate
95,7,7,Low
45,4,4,Moderate
65,6,6,Low
63,0,3,High
86,4,3,Moderate
20,0,1,High
90,6,6,Low
80,7,1,Moderate
56,1,2,High
51,7,0,Moderate
74,0,1,High
39,0,0,High
78,2,2,Moderate
83,1,6,Moderate
74,3,6,Moderate
66,0,1,High
37,5,5,Moderate
85,1,5,Moderate
82,6,6,Low
96,4,3,Moderate
59,2,4,Moderate
95,2,0,Moderate
89,2,2,Moderate
96,1,6,Moderate
42,5,0,High
25,1,6,Moderate
24,3,2,High
99,7,7,Low
90,7,0,Moderate
34,6,6,Moderate
84,0,3,Moderate
92,3,4,Moderate
20,4,6,Moderate
75,4,2,Moderate
88,0,2,High
47,7,7,Low
45,7,2,Moderate
41,6,4,Moderate
25,6,7,Moderate
83,0,3,Moderate
85,0,2,High
83,3,3,Moderate
98,5,2,Moderate
77,1,1,High
98,5,4,Low
66,7,4,Low
40,7,3,Moderate
45,1,6,Moderate
65,4,4,Moderate
97,7,4,Low
58,6,6,Low
58,1,4,Moderate
93,4,4,Moderate
78,4,5,Moderate
77,5,6,Low
52,6,5,Moderate
97,7,1,Moderate
47,6,5,Moderate
94,3,0,Moderate
26,3,0,High
89,1,1,High
61,0,7,Moderate
97,7,5,Low
51,5,6,Moderate
28,5,0,High
78,5,4,Moderate
53,3,6,Moderate
91,1,7,Moderate
85,5,3,Moderate
93,0,3,Moderate
80,5,3,Moderate
53,0,5,Moderate
86,3,2,Moderate
88,1,6,Moderate
59,1,1,High
24,7,5,Moderate
45,1,0,High
61,1,3,High
74,2,0,High
61,3,6,Moderate
28,0,4,High
32,7,3,Moderate
93,0,2,Moderate
88,6,6,Low
62,3,3,Moderate
75,5,7,Low
27,7,0,Moderate
34,3,4,Moderate
44,2,2,High
52,0,2,High
61,0,4,High
42,7,1,Moderate
33,5,7,Moderate
51,4,2,Moderate
86,4,6,Low
78,6,1,Moderate
35,6,1,Moderate
23,6,3,Moderate
61,4,5,Moderate
95,6,4,Low
97,3,6,Low
93,6,6,Low
42,6,4,Moderate
80,4,1,Moderate
27,7,0,Moderate
83,6,5,Low
47,0,6,Moderate
22,0,1,High
93,6,0,Moderate
60,6,6,Low
86,6,1,Moderate
83,7,0,Moderate
47,2,7,Moderate
59,4,3,Moderate
29,1,5,High
57,2,0,High
47,2,1,High
71,1,6,Moderate
33,6,2,Moderate
96,2,3,Moderate
29,5,2,Moderate
38,7,7,Low
93,7,5,Low
22,6,7,Moderate
81,7,4,Low
21,1,6,High
73,0,5,Moderate
37,5,5,Moderate
20,7,1,Moderate
57,6,6,Low
50,7,6,Low
70,2,4,Moderate
86,6,2,Moderate
39,0,1,High
70,4,1,Moderate
99,4,3,Moderate
69,1,7,Moderate
68,6,2,Moderate
73,5,5,Moderate
65,7,3,Moderate
49,4,2,Moderate
25,0,6,High
46,7,4,Moderate
49,7,1,Moderate
95,2,6,Moderate
77,0,1,High
62,0,5,Moderate
24,4,7,Moderate
47,1,3,High
47,7,0,Moderate
36,3,5,Moderate
57,3,3,Moderate
99,6,6,Low
43,6,5,Moderate
52,3,6,Moderate
36,7,6,Low
31,1,2,High
23,7,2,Moderate
67,4,2,Moderate
64,3,4,Moderate
34,7,3,Moderate
24,2,2,High
96,6,5,Low
53,5,7,Low
27,2,4,High
70,5,1,Moderate
74,6,7,Low
83,4,4,Moderate
98,0,6,Moderate
97,3,2,Moderate
89,6,3,Moderate
52,7,4,Moderate
39,7,2,Moderate
50,1,4,Moderate
91,1,3,Moderate
39,2,6,Moderate
33,4,4,Moderate
78,7,6,Low
60,4,0,High
63,2,2,High
61,3,1,High
40,6,3,Moderate
80,2,4,Moderate
76,6,2,Moderate
21,7,0,High
77,5,2,Moderate
63,6,5,Moderate
69,1,7,Moderate
57,7,4,Moderate
70,4,5,Moderate
21,5,5,Moderate
75,1,7,Moderate
77,4,0,Moderate
59,6,6,Low
53,5,0,Moderate
80,2,6,Moderate
88,4,4,Moderate
35,3,7,Moderate
64,2,7,Moderate
37,0,3,High
53,5,5,Moderate
82,6,0,Moderate
35,4,1,High
22,3,6,Moderate
80,6,3,Moderate
95,4,0,Moderate
30,2,3,High
62,4,5,Moderate
